,atoms,Heavy Neighb.,H Neighb.,Explicit Valence,Aromaticity,In Ring,C;4;3;0;0;0,C;4;3;1;0;0,C;4;1;3;0;0,N;3;2;1;0;0,O;2;1;0;0;0,C;4;2;2;0;0,C;6;3;0;0;0,N;4;2;1;0;0,N;4;1;2;0;0,N;3;1;2;0;0,C;5;3;0;0;0,S;2;1;1;0;0,C;4;2;1;1;1,C;4;3;0;1;1,N;3;2;0;1;1,N;3;2;1;1;1,N;4;1;3;0;0,S;2;2;0;0;0,C;4;3;1;0;1,C;4;2;2;0;1,N;3;3;0;0;1,O;2;1;1;0;0
14,C,0.13252376,0.17677084,0.029752716,0.09261706,0.03061174,0.08792637,0.1573675,0.04194537,0.07628956,0.04652461,0.0918126,0.004567753,0.004592778,0.0048254104,0.004619577,0.053258896,0.004576162,0.0038314715,0.004777926,0.004792355,0.0040437058,0.0048338813,0.0049577467,0.0047785817,0.0052707647,0.0039998647,0.0042829113
15,C,0.15696074,0.0041689635,0.09104804,0.06808797,0.050448,0.0047957473,0.11840112,0.10854954,0.14347841,0.04554737,0.056494594,0.0049791704,0.0046986393,0.0048297415,0.0049063866,0.09922937,0.0049313507,0.0046952395,0.0049170866,0.0048667686,0.004425996,0.004565,0.0035541076,0.0045953006,0.004485905,0.00505027,0.005093294
16,C,0.09197677,0.004661498,0.13948494,0.004477481,0.0045788456,0.0045951423,0.09755042,0.0514769,0.077692226,0.038793497,0.14449373,0.004539912,0.004651724,0.0045231516,0.0043646367,0.11075609,0.005089108,0.0048105177,0.0042341026,0.0051150993,0.004890237,0.0043504015,0.003573092,0.00414523,0.0045583853,0.004883737,0.004095049
17,F,0.10549595,0.0045097163,0.20355847,0.005096909,0.0047199824,0.14320804,0.11489575,0.09654322,0.11234338,0.112434514,0.0921353,0.11098749,0.16037263,0.11994377,0.0047538118,0.0049013505,0.0046399147,0.005073851,0.004901835,0.004595545,0.0049267495,0.0045364317,0.004717831,0.004741217,0.053044707,0.004470799,0.061972655
18,C,0.07896298,0.004685111,0.17346294,0.004625907,0.0053724647,0.032627884,0.10716788,0.050392065,0.10371048,0.086502835,0.07997577,0.004776126,0.10868353,0.00488708,0.005124334,0.004515885,0.004841606,0.004430022,0.0046779616,0.0042333985,0.0041435203,0.004871528,0.0043438505,0.12467099,0.10333552,0.13695878,0.0047736806
19,F,0.15703148,0.0037596493,0.08242416,0.16243729,0.0993302,0.0044102524,0.046757683,0.07561747,0.0041743764,0.044538405,0.042065468,0.0046234583,0.0050975555,0.0053505264,0.0053565544,0.0042467522,0.00500468,0.005011169,0.005236131,0.0046916255,0.004696497,0.004522925,0.004981768,0.0050200494,0.0044671837,0.004422816,0.004377565
20,C,0.018546456,0.0049437094,0.019834518,0.0043732524,0.004262387,0.05171895,0.020336445,0.021078978,0.084780335,0.004845755,0.03515468,0.0044758404,0.004727112,0.0047355597,0.004367343,0.0042514605,0.0047002,0.0042108176,0.005265985,0.004162088,0.004864473,0.02155566,0.0044503133,0.0042873328,0.004903907,0.0045455457,0.004748031
21,C,0.07864257,0.028631331,0.041045737,0.00433666,0.005094372,0.0044740275,0.043677635,0.07584924,0.10502798,0.004409963,0.09912242,0.004118596,0.00473811,0.0048023053,0.005234544,0.0047798622,0.004241158,0.08542808,0.004878979,0.004703868,0.0042793187,0.0047472543,0.0041483007,0.0044838293,0.004571958,0.0045498195,0.0043429076
22,C,0.034247972,0.024971604,0.027049376,0.028992983,0.024115914,0.108502045,0.05822217,0.04650766,0.03168536,0.024980165,0.026090577,0.00492011,0.00493438,0.00496477,0.004919375,0.03334189,0.0054986076,0.050219793,0.081743084,0.005139292,0.0044037187,0.036696337,0.0044925385,0.0046854448,0.0041457564,0.0050147963,0.004759628
23,C,0.01835195,0.004158391,0.016885007,0.025627743,0.04232108,0.041153647,0.049616553,0.051945105,0.043768037,0.015413893,0.05911215,0.00464019,0.0042529716,0.0047153463,0.0046199877,0.03471527,0.0050631957,0.022112641,0.03565615,0.0050420607,0.003757429,0.021459337,0.0041069067,0.004524972,0.0048704813,0.004608499,0.0042194477
24,C,0.02100651,0.030459316,0.031915575,0.021235349,0.023548169,0.03181742,0.07194805,0.02406886,0.023003122,0.020732606,0.026178429,0.004529009,0.0047305836,0.0043094493,0.0045054015,0.026354698,0.0041630855,0.022664407,0.08502349,0.004223994,0.004293359,0.037251767,0.0046417476,0.004562471,0.004585575,0.0045137494,0.0045245215
25,C,0.061284464,0.028068382,0.030247897,0.041365936,0.041733466,0.08247244,0.036054213,0.041316256,0.11283847,0.026679125,0.048683982,0.004328972,0.004800703,0.00513871,0.004296582,0.046752747,0.0045225606,0.028236017,0.03437256,0.0042876,0.004464869,0.080245726,0.004412217,0.003954132,0.0052739414,0.0049294042,0.0045503355
26,C,0.08459459,0.0048548197,0.05587305,0.07773054,0.05020481,0.02381522,0.05929208,0.12321235,0.14652114,0.032948542,0.108014286,0.004248173,0.0041338275,0.004995045,0.0042587807,0.078445494,0.0049111736,0.10806406,0.058065306,0.0047101695,0.0050856527,0.08739357,0.004754222,0.0038603398,0.005482995,0.004311665,0.005571162
27,C,0.049555648,0.02923708,0.04093676,0.0044837343,0.052499585,0.1263802,0.06874192,0.105560996,0.0042713042,0.1408304,0.121117294,0.004150333,0.005202141,0.0048715803,0.0041146413,0.005021561,0.0053196778,0.14773732,0.034845326,0.0046171066,0.004064064,0.004627504,0.0047647636,0.004359021,0.0045027994,0.003813951,0.00447433
28,C,0.03629114,0.030927947,0.02710856,0.004723128,0.053442042,0.07471862,0.04340612,0.045273066,0.10556161,0.0430167,0.092514545,0.004389428,0.0050981743,0.0049089617,0.0045229685,0.041983612,0.004389315,0.11349881,0.032937158,0.004427082,0.0049759317,0.0046778806,0.00432693,0.004454003,0.0045323167,0.004461937,0.0050750044
29,N,0.022549769,0.017195873,0.027454603,0.004430182,0.004772399,0.06541582,0.035587896,0.031186495,0.067481905,0.015875675,0.030804636,0.0045594373,0.004688461,0.0042996244,0.0048312265,0.031489633,0.00489518,0.0045585614,0.0051293583,0.004485727,0.00451601,0.004770026,0.0051599937,0.004642187,0.0052110893,0.0040629916,0.0048731207
30,C,0.119815,0.12690148,0.10023901,0.0046752323,0.030386614,0.08616495,0.11576856,0.045769498,0.040185876,0.01894852,0.10246644,0.00461619,0.004387935,0.004388934,0.004668328,0.0044979383,0.0050985557,0.07133079,0.11941103,0.0050274944,0.0045927186,0.0044795345,0.005109306,0.004075144,0.004105298,0.004982383,0.0044254917
31,C,0.07512363,0.019755712,0.02259518,0.0049727377,0.0049488274,0.018945077,0.028252756,0.041779805,0.022511492,0.025001453,0.032226656,0.00548008,0.004531853,0.0044146753,0.0046448093,0.0046665887,0.0044652116,0.039307978,0.004418158,0.0053581195,0.004637688,0.004800916,0.0044172956,0.0045448416,0.004503324,0.0052631013,0.004730318
