,indiv_edge_masks,indiv_edge_masks_std
0,0.8583729863166809,0.06539812684059143
1,0.659521758556366,0.3743661046028137
2,0.49858126044273376,0.44763413071632385
3,0.7920774817466736,0.26410236954689026
4,0.7669499516487122,0.042730484157800674
5,0.8619476556777954,0.04428029805421829
6,0.3456825613975525,0.42937782406806946
7,0.7957907319068909,0.047399844974279404
8,0.493476927280426,0.44682881236076355
9,0.1806875765323639,0.3206215798854828
10,0.7319552898406982,0.048568058758974075
11,0.22260144352912903,0.344068318605423
12,0.24545694887638092,0.3858727514743805
13,0.7991634011268616,0.06953959912061691
14,0.18611975014209747,0.32956448197364807
15,0.8350647687911987,0.15057659149169922
16,0.10870683938264847,0.2369655966758728
17,0.12072904407978058,0.2399124801158905
18,0.6591359972953796,0.25956225395202637
19,0.4666353166103363,0.45034798979759216
20,0.795566201210022,0.03570549190044403
21,0.4090007245540619,0.44345012307167053
22,0.8597605228424072,0.15018384158611298
23,0.43125346302986145,0.45452865958213806
24,0.1647723764181137,0.2954484224319458
25,0.7886179089546204,0.034847158938646317
26,0.07317940145730972,0.12822937965393066
27,0.8593615293502808,0.03797170892357826
28,0.2605946362018585,0.3734300136566162
29,0.7013355493545532,0.3002753257751465
30,0.8152762651443481,0.041080765426158905
31,0.4868292808532715,0.4567600190639496
32,0.8447694182395935,0.1429520547389984
33,0.20221273601055145,0.34104764461517334
34,0.6285573840141296,0.41500693559646606
35,0.8237743377685547,0.22899019718170166
36,0.8513214588165283,0.035296086221933365
37,0.8102014064788818,0.19644245505332947
38,0.8425009250640869,0.2429971694946289
39,0.7481733560562134,0.08245515823364258
40,0.8031920194625854,0.2461797297000885
41,0.7976365685462952,0.21420297026634216
42,0.7013896107673645,0.28132906556129456
43,0.7319584488868713,0.3313661813735962
44,0.8321073055267334,0.22816024720668793
45,0.8065388798713684,0.19182932376861572
46,0.43278637528419495,0.4099368751049042
47,0.8087684512138367,0.23884736001491547
48,0.7105094790458679,0.32399505376815796
49,0.7195671200752258,0.1483466625213623
50,0.7390735745429993,0.3428724706172943
51,0.44421708583831787,0.4280725121498108
52,0.8281633853912354,0.07649306952953339
53,0.8076238632202148,0.16705648601055145
54,0.8452739119529724,0.1215670108795166
55,0.8388476371765137,0.19968561828136444
56,0.85346519947052,0.08982390910387039
57,0.8581700325012207,0.03555329144001007
58,0.8371256589889526,0.0351688452064991
59,0.8954055309295654,0.030136559158563614
60,0.8980063199996948,0.12689568102359772
61,0.7978188395500183,0.056509993970394135
62,0.7987327575683594,0.038028534501791
63,0.7918452024459839,0.033523496240377426
64,0.8379369974136353,0.038777317851781845
65,0.7978178858757019,0.035238344222307205
66,0.3074950873851776,0.4187988042831421
67,0.17227056622505188,0.32143092155456543
68,0.10086387395858765,0.2006484717130661
69,0.47717970609664917,0.438159316778183
